Timestamp,Sensor Type,Value
2026-05-13 18:30:20:859,Temperature,23.31
2026-05-13 18:31:32:335,Temperature,23.3
2026-05-13 18:32:31:829,Temperature,23.27
2026-05-13 18:33:40:334,Temperature,23.67
2026-05-13 18:34:24:060,Temperature,77
2026-05-13 18:34:24:310,Temperature,77
2026-05-13 18:36:03:388,Temperature,77
2026-05-13 18:36:03:695,Temperature,77
2026-05-13 18:36:04:001,Temperature,77
2026-05-13 18:36:04:004,Temperature,77
2026-05-13 18:36:04:309,Temperature,77
2026-05-13 18:36:04:311,Temperature,77
2026-05-13 18:36:04:571,Temperature,77
2026-05-13 18:36:04:573,Temperature,77
2026-05-13 18:36:04:830,Temperature,77
2026-05-13 18:36:04:833,Temperature,77
2026-05-13 18:36:05:131,Temperature,77
2026-05-13 18:36:05:399,Temperature,77
2026-05-13 18:36:05:401,Temperature,77
2026-05-13 18:36:05:659,Temperature,77
2026-05-13 18:36:05:662,Temperature,77
2026-05-13 18:36:05:946,Temperature,77
2026-05-13 18:36:05:949,Temperature,77
2026-05-13 18:36:05:951,Temperature,77
2026-05-13 18:36:06:511,Temperature,77
2026-05-13 18:36:06:516,Temperature,77
2026-05-13 18:36:06:869,Temperature,77
2026-05-13 18:36:07:177,Temperature,77
2026-05-13 18:36:07:180,Temperature,77
2026-05-13 18:36:07:445,Temperature,77
2026-05-13 18:36:07:447,Temperature,77
2026-05-13 18:36:07:449,Temperature,77
2026-05-13 18:36:07:450,Temperature,77
2026-05-13 18:36:07:789,Temperature,77
2026-05-13 18:36:08:054,Temperature,77
2026-05-13 18:36:08:404,Temperature,77
2026-05-13 18:36:08:406,Temperature,77
2026-05-13 18:36:08:711,Temperature,77
2026-05-13 18:36:08:713,Temperature,77
2026-05-13 18:36:09:017,Temperature,77
2026-05-13 18:36:09:019,Temperature,77
2026-05-13 18:36:09:326,Temperature,77
2026-05-13 18:36:09:633,Temperature,77
2026-05-13 18:36:09:637,Temperature,77
2026-05-13 18:36:09:640,Temperature,77
2026-05-13 18:36:09:941,Temperature,77
2026-05-13 18:36:10:249,Temperature,77
2026-05-13 18:36:10:250,Temperature,77
2026-05-13 18:36:10:252,Temperature,77
2026-05-13 18:36:10:253,Temperature,77
2026-05-13 18:36:10:553,Temperature,77
2026-05-13 18:36:10:863,Temperature,77
2026-05-13 18:36:11:267,Temperature,77
2026-05-13 18:36:11:269,Temperature,77
2026-05-13 18:36:11:271,Temperature,77
2026-05-13 18:36:11:273,Temperature,77
2026-05-13 18:36:11:578,Temperature,77
2026-05-13 18:36:11:888,Temperature,77
2026-05-13 18:36:11:890,Temperature,77
2026-05-13 18:36:12:192,Temperature,77
2026-05-13 18:36:12:194,Temperature,77
2026-05-13 18:36:12:462,Temperature,77
2026-05-13 18:36:12:465,Temperature,77
2026-05-13 18:36:12:746,Temperature,77
2026-05-13 18:36:12:749,Temperature,77
2026-05-13 18:36:13:015,Temperature,77
2026-05-13 18:36:13:018,Temperature,77
2026-05-13 18:36:13:421,Temperature,77
2026-05-13 18:36:13:672,Temperature,77
2026-05-13 18:36:13:934,Temperature,77
2026-05-13 18:36:13:937,Temperature,77
2026-05-13 18:36:14:207,Temperature,77
2026-05-13 18:36:14:208,Temperature,77
2026-05-13 18:36:14:465,Temperature,77
2026-05-13 18:36:14:469,Temperature,77
2026-05-13 18:36:14:751,Temperature,77
2026-05-13 18:36:15:061,Temperature,77
2026-05-13 18:36:15:366,Temperature,77
2026-05-13 18:36:15:367,Temperature,77
2026-05-13 18:36:15:369,Temperature,77
2026-05-13 18:36:15:370,Temperature,77
2026-05-13 18:36:15:627,Temperature,77
2026-05-13 18:36:15:880,Temperature,77
2026-05-13 18:36:16:187,Temperature,77
2026-05-13 18:36:16:189,Temperature,77
2026-05-13 18:36:16:496,Temperature,77
2026-05-13 18:36:16:498,Temperature,77
2026-05-13 18:36:16:761,Temperature,77
2026-05-13 18:36:16:765,Temperature,77
2026-05-13 18:36:17:108,Temperature,77
2026-05-13 18:36:17:415,Temperature,77
2026-05-13 18:36:17:419,Temperature,77
2026-05-13 18:36:17:722,Temperature,77
2026-05-13 18:36:17:723,Temperature,77
2026-05-13 18:36:18:031,Temperature,77
2026-05-13 18:36:18:033,Temperature,77
2026-05-13 18:36:18:336,Temperature,77
2026-05-13 18:36:18:338,Temperature,77
2026-05-13 18:36:18:644,Temperature,77
2026-05-13 18:36:18:647,Temperature,77
2026-05-13 18:36:18:953,Temperature,77
2026-05-13 18:36:18:956,Temperature,77
2026-05-13 18:36:19:259,Temperature,77
2026-05-13 18:36:19:262,Temperature,77
2026-05-13 18:36:19:567,Temperature,77
2026-05-13 18:36:19:873,Temperature,77
2026-05-13 18:36:19:874,Temperature,77
2026-05-13 18:36:20:180,Temperature,77
2026-05-13 18:36:20:181,Temperature,77
2026-05-13 18:36:20:489,Temperature,77
2026-05-13 18:36:20:491,Temperature,77
2026-05-13 18:36:20:796,Temperature,77
2026-05-13 18:36:20:800,Temperature,77
2026-05-13 18:36:21:102,Temperature,77
2026-05-13 18:36:21:103,Temperature,77
2026-05-13 18:36:21:374,Temperature,77
2026-05-13 18:36:21:376,Temperature,77
2026-05-13 18:36:21:714,Temperature,77
2026-05-13 18:36:21:716,Temperature,77
2026-05-13 18:36:22:022,Temperature,77
2026-05-13 18:36:22:331,Temperature,77
2026-05-13 18:36:22:334,Temperature,77
2026-05-13 18:36:22:591,Temperature,77
2026-05-13 18:36:22:595,Temperature,77
2026-05-13 18:36:22:944,Temperature,77
2026-05-13 18:36:22:944,Temperature,77
2026-05-13 18:36:23:211,Temperature,77
2026-05-13 18:36:23:211,Temperature,77
2026-05-13 18:36:23:560,Temperature,77
2026-05-13 18:36:23:562,Temperature,77
2026-05-13 18:36:23:867,Temperature,77
2026-05-13 18:36:23:868,Temperature,77
2026-05-13 18:36:24:177,Temperature,77
2026-05-13 18:36:24:481,Temperature,77
2026-05-13 18:36:24:483,Temperature,77
2026-05-13 18:36:24:796,Temperature,77
2026-05-13 18:36:24:799,Temperature,77
2026-05-13 18:36:25:096,Temperature,77
2026-05-13 18:36:25:402,Temperature,77
2026-05-13 18:36:25:403,Temperature,77
2026-05-13 18:36:25:404,Temperature,77
2026-05-13 18:36:25:405,Temperature,77
2026-05-13 18:36:25:711,Temperature,77
2026-05-13 18:36:26:016,Temperature,77
2026-05-13 18:36:26:017,Temperature,77
2026-05-13 18:36:26:018,Temperature,77
2026-05-13 18:36:26:325,Temperature,77
2026-05-13 18:36:26:633,Temperature,77
2026-05-13 18:36:26:634,Temperature,77
2026-05-13 18:36:26:635,Temperature,77
2026-05-13 18:36:26:893,Temperature,77
2026-05-13 18:36:27:246,Temperature,77
2026-05-13 18:36:27:553,Temperature,77
2026-05-13 18:36:27:554,Temperature,77
2026-05-13 18:36:27:554,Temperature,77
2026-05-13 18:36:27:861,Temperature,77
2026-05-13 18:36:28:175,Temperature,77
2026-05-13 18:36:28:474,Temperature,77
2026-05-13 18:36:28:476,Temperature,77
2026-05-13 18:36:28:779,Temperature,77
2026-05-13 18:36:28:780,Temperature,77
2026-05-13 18:36:29:089,Temperature,77
2026-05-13 18:36:29:090,Temperature,77
2026-05-13 18:36:29:395,Temperature,77
2026-05-13 18:36:29:397,Temperature,77
2026-05-13 18:36:29:706,Temperature,77
2026-05-13 18:36:29:707,Temperature,77
2026-05-13 18:36:30:019,Temperature,77
2026-05-13 18:36:30:021,Temperature,77
2026-05-13 18:36:30:316,Temperature,77
2026-05-13 18:36:30:585,Temperature,77
2026-05-13 18:36:30:586,Temperature,77
